"","Energieträger","Einheit","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022*"
"1","Gewerbe","Terawattstunden",488.737335434,489.143169092,456.662587552,451.360638866,432.32256808,438.713962082,485.229832628,443.903688456,441.105630662,423.10589404,410.456439476,436.31284905,428.881454216,407.045852534272,403.319346193139,399.135924096099,426.422842681329,363.391736739343,400.810989540238,376.494027288018,411.807829446,373.92113247,373.713076748,405.645324516,374.952799962,396.59892839,387.774754664,393.601425992,360.860288688,365.251958868,365.334800323162,373.751415945338,372.992230060212
"2","Haushalte","Terawattstunden",654.723023778,689.723051778,666.944978,716.978629138,704.75611936,737.4867011,802.883142306,792.767856436,772.72561818,725.67141387,717.833074266,783.7922937,746.857819708,763.79492492434,731.709048977882,719.655415303593,728.389475609543,627.380017854341,710.595703423029,688.255702981847,743.240594592,648.17968521,674.294428324,709.99223466,607.78937512,639.349678146,660.074972504,650.641076068,644.417459978,673.559149958,667.19231430898,688.63464674061,652.362670223052
"3","Industrie","Terawattstunden",826.942605998,748.255043048,711.066402186,675.51998486,684.273047418,687.22416089,673.43526097,677.821653368,665.775254842,662.198863092,672.607758641332,657.055246199332,645.035793806,706.849209390026,717.000269615312,698.218842038516,701.486448451765,730.126460180979,718.547484847652,636.383730495466,720.066687164,731.660585328,718.640574912,708.520566816,707.053621198,707.748899532,724.795302058,740.547536882,722.44085573,697.7088915,665.290710287698,724.045110346736,644.869307839478
"4","Verkehr","Terawattstunden",660.782195292,674.477761804,700.61722716,721.110854666,709.219456264,726.06863641,729.13530553,734.0839206,747.506986894,772.367006782,764.259500296,749.32698835,742.11587147,722.376411234,726.745859174,718.379525935999,726.201597533999,722.453711107999,714.162301963999,705.837837237999,710.916957622,713.288348408,710.728068582,725.435024792,726.539747898,727.996971286,747.131986594,768.12700339,751.188656506,756.080882642,635.477765881806,653.873593654012,692.849197890026
