,Monat,2022,2023,%
1,Januar,3604173,3239511,-0,101177718
2,Februar,3022347,2626030,-0,131128888
3,März,3194264,2883106,-0,097411485
4,April,3167561,2101497,-0,336556739
5,Mai,2766905,1972780,-0,287008408
6,Juni,2706974,1843187,-0,319096896
7,Juli,2708347,1720434,-0,364766036
8,August,2440624,NA,NA
9,September,2884964,NA,NA
10,Oktober,3116957,NA,NA
11,November,2708546,NA,NA
12,Dezember,2977436,NA,NA
