Jahr;Deutschland;Durchschnitt (1881-2022);Durchschnitt (1971-2000);Abweichung zum Durchschnitt Gesamt;Abweichung zum Durchschnitt 1971-2000
1977;8,67;8,391760563;8,556666667;0,278239437;0,113333333
1978;7,79;8,391760563;8,556666667;-0,601760563;-0,766666667
1979;7,72;8,391760563;8,556666667;-0,671760563;-0,836666667
1980;7,63;8,391760563;8,556666667;-0,761760563;-0,926666667
1981;8,19;8,391760563;8,556666667;-0,201760563;-0,366666667
1982;8,9;8,391760563;8,556666667;0,508239437;0,343333333
1983;9,04;8,391760563;8,556666667;0,648239437;0,483333333
1984;7,97;8,391760563;8,556666667;-0,421760563;-0,586666667
1985;7,42;8,391760563;8,556666667;-0,971760563;-1,136666667
1986;7,93;8,391760563;8,556666667;-0,461760563;-0,626666667
1987;7,44;8,391760563;8,556666667;-0,951760563;-1,116666667
1988;9,06;8,391760563;8,556666667;0,668239437;0,503333333
1989;9,47;8,391760563;8,556666667;1,078239437;0,913333333
1990;9,49;8,391760563;8,556666667;1,098239437;0,933333333
1991;8,35;8,391760563;8,556666667;-0,041760563;-0,206666667
1992;9,37;8,391760563;8,556666667;0,978239437;0,813333333
1993;8,47;8,391760563;8,556666667;0,078239437;-0,086666667
1994;9,7;8,391760563;8,556666667;1,308239437;1,143333333
1995;8,9;8,391760563;8,556666667;0,508239437;0,343333333
1996;7,2;8,391760563;8,556666667;-1,191760563;-1,356666667
1997;8,89;8,391760563;8,556666667;0,498239437;0,333333333
1998;9,06;8,391760563;8,556666667;0,668239437;0,503333333
1999;9,49;8,391760563;8,556666667;1,098239437;0,933333333
2000;9,87;8,391760563;8,556666667;1,478239437;1,313333333
2001;9,02;8,391760563;8,556666667;0,628239437;0,463333333
2002;9,56;8,391760563;8,556666667;1,168239437;1,003333333
2003;9,38;8,391760563;8,556666667;0,988239437;0,823333333
2004;8,94;8,391760563;8,556666667;0,548239437;0,383333333
2005;8,99;8,391760563;8,556666667;0,598239437;0,433333333
2006;9,54;8,391760563;8,556666667;1,148239437;0,983333333
2007;9,85;8,391760563;8,556666667;1,458239437;1,293333333
2008;9,48;8,391760563;8,556666667;1,088239437;0,923333333
2009;9,18;8,391760563;8,556666667;0,788239437;0,623333333
2010;7,85;8,391760563;8,556666667;-0,541760563;-0,706666667
2011;9,64;8,391760563;8,556666667;1,248239437;1,083333333
2012;9,09;8,391760563;8,556666667;0,698239437;0,533333333
2013;8,71;8,391760563;8,556666667;0,318239437;0,153333333
2014;10,33;8,391760563;8,556666667;1,938239437;1,773333333
2015;9,94;8,391760563;8,556666667;1,548239437;1,383333333
2016;9,55;8,391760563;8,556666667;1,158239437;0,993333333
2017;9,58;8,391760563;8,556666667;1,188239437;1,023333333
2018;10,45;8,391760563;8,556666667;2,058239437;1,893333333
2019;10,28;8,391760563;8,556666667;1,888239437;1,723333333
2020;10,43;8,391760563;8,556666667;2,038239437;1,873333333
2021;9,16;8,391760563;8,556666667;0,768239437;0,603333333
2022;10,52;8,391760563;8,556666667;2,128239437;1,963333333
