Angaben.in.[GWh];Jahr;GWh
biogener Anteil des Abfalls;01.01.1999;3674
Solarthermie;01.01.1999;1036
tiefe Geothermie;01.01.1999;113
oberflächennahe Geothermie,  Umweltwärme;01.01.1999;2042
Gesamt;01.01.1999;57723
biogene Festbrennstoffe (Haushalte);01.01.2000;45834
biogene Festbrennstoffe (GHD);01.01.2000;0
biogene Festbrennstoffe (Industrie);01.01.2000;3898
biogene Festbrennstoffe (HW/HKW);01.01.2000;324
biogene flüssige Brennstoffe;01.01.2000;8
Biogas;01.01.2000;0
Biomethan;01.01.2000;0
Klargas;01.01.2000;0
Deponiegas;01.01.2000;0
biogene gasförmige Brennstoffe;01.01.2000;1355
biogener Anteil des Abfalls;01.01.2000;3548
Solarthermie;01.01.2000;1226
tiefe Geothermie;01.01.2000;113
oberflächennahe Geothermie,  Umweltwärme;01.01.2000;2057
Gesamt;01.01.2000;58363
biogene Festbrennstoffe (Haushalte);01.01.2001;52307
biogene Festbrennstoffe (GHD);01.01.2001;0
biogene Festbrennstoffe (Industrie);01.01.2001;4161
biogene Festbrennstoffe (HW/HKW);01.01.2001;389
biogene flüssige Brennstoffe;01.01.2001;10
Biogas;01.01.2001;0
Biomethan;01.01.2001;0
Klargas;01.01.2001;0
Deponiegas;01.01.2001;0
biogene gasförmige Brennstoffe;01.01.2001;1353
biogener Anteil des Abfalls;01.01.2001;3421
Solarthermie;01.01.2001;1540
tiefe Geothermie;01.01.2001;114
oberflächennahe Geothermie,  Umweltwärme;01.01.2001;2070
Gesamt;01.01.2001;65365
biogene Festbrennstoffe (Haushalte);01.01.2002;50963
biogene Festbrennstoffe (GHD);01.01.2002;0
biogene Festbrennstoffe (Industrie);01.01.2002;4273
biogene Festbrennstoffe (HW/HKW);01.01.2002;520
biogene flüssige Brennstoffe;01.01.2002;48
Biogas;01.01.2002;0
Biomethan;01.01.2002;0
Klargas;01.01.2002;0
Deponiegas;01.01.2002;0
biogene gasförmige Brennstoffe;01.01.2002;1438
biogener Anteil des Abfalls;01.01.2002;3295
Solarthermie;01.01.2002;1814
tiefe Geothermie;01.01.2002;114
oberflächennahe Geothermie,  Umweltwärme;01.01.2002;2052
Gesamt;01.01.2002;64517
biogene Festbrennstoffe (Haushalte);01.01.2003;54279
biogene Festbrennstoffe (GHD);01.01.2003;6972
biogene Festbrennstoffe (Industrie);01.01.2003;12442
biogene Festbrennstoffe (HW/HKW);01.01.2003;994
biogene flüssige Brennstoffe;01.01.2003;701
Biogas;01.01.2003;297
Biomethan;01.01.2003;0
Klargas;01.01.2003;1830
Deponiegas;01.01.2003;176
biogene gasförmige Brennstoffe;01.01.2003;0
biogener Anteil des Abfalls;01.01.2003;5642
Solarthermie;01.01.2003;2389
tiefe Geothermie;01.01.2003;445
oberflächennahe Geothermie,  Umweltwärme;01.01.2003;2061
Gesamt;01.01.2003;88228
biogene Festbrennstoffe (Haushalte);01.01.2004;53044
biogene Festbrennstoffe (GHD);01.01.2004;9581
biogene Festbrennstoffe (Industrie);01.01.2004;18462
biogene Festbrennstoffe (HW/HKW);01.01.2004;1797
biogene flüssige Brennstoffe;01.01.2004;819
Biogas;01.01.2004;441
Biomethan;01.01.2004;0
Klargas;01.01.2004;1968
Deponiegas;01.01.2004;165
biogene gasförmige Brennstoffe;01.01.2004;0
biogener Anteil des Abfalls;01.01.2004;6034
Solarthermie;01.01.2004;2421
tiefe Geothermie;01.01.2004;464
oberflächennahe Geothermie,  Umweltwärme;01.01.2004;2121
Gesamt;01.01.2004;97317
biogene Festbrennstoffe (Haushalte);01.01.2005;52222
biogene Festbrennstoffe (GHD);01.01.2005;9695
biogene Festbrennstoffe (Industrie);01.01.2005;21266
biogene Festbrennstoffe (HW/HKW);01.01.2005;2043
biogene flüssige Brennstoffe;01.01.2005;1219
Biogas;01.01.2005;813
Biomethan;01.01.2005;0
Klargas;01.01.2005;2082
Deponiegas;01.01.2005;231
biogene gasförmige Brennstoffe;01.01.2005;0
biogener Anteil des Abfalls;01.01.2005;7199
Solarthermie;01.01.2005;2857
tiefe Geothermie;01.01.2005;532
oberflächennahe Geothermie,  Umweltwärme;01.01.2005;2283
Gesamt;01.01.2005;102442
biogene Festbrennstoffe (Haushalte);01.01.2006;61496
biogene Festbrennstoffe (GHD);01.01.2006;11120
biogene Festbrennstoffe (Industrie);01.01.2006;20319
biogene Festbrennstoffe (HW/HKW);01.01.2006;2104
biogene flüssige Brennstoffe;01.01.2006;1778
Biogas;01.01.2006;1334
Biomethan;01.01.2006;0
Klargas;01.01.2006;1852
Deponiegas;01.01.2006;227
biogene gasförmige Brennstoffe;01.01.2006;0
biogener Anteil des Abfalls;01.01.2006;8433
Solarthermie;01.01.2006;3363
tiefe Geothermie;01.01.2006;525
oberflächennahe Geothermie,  Umweltwärme;01.01.2006;2747
