"","MaStR.Nr..der.Stromerzeugungseinheit","Anlagenbetreiber","Anzeige.Name.der.Stromerzeugungseinheit","PLZ.der.Einheit","Ort.der.Einheit","Straße.der.Einheit","Hausnummer.der.Einheit","Bundesland.der.Einheit","Datum.der.erstmaligen.Inbetriebnahme.der.Einheit","Datum.der.endgültigen.Stilllegung.der.Einheit..Datum.Jahr.","Kraftwerksstatus.der.Einheit","Energieträger","Hauptbrennstoff","Auswertung.Energieträger","Wärmeauskopplung..KWK...ja.nein.","Ist.die.Stromerzeugungseinheit.ein.Bestandteil.eines.Grenzkraftwerkes.","Bruttoleistung.in.MW","Nettonennleistung..elektrische.Wirkleistung..in.MW","Ist.die.Stromerzeugungseinheit.ein.Bestandteil.eines.Grenzkraftwerkes...ja..Nettonennleistung.der.Einspeisung.in.ein.deutsches.Netz.","Technologie.der.Stromerzeugung","Volleinspeisung.oder.Teileinspeisung.","Anschlussnetzbetreiber","Spannungsebene"
"483","SEE934309192626","Vattenfall Wasserkraft GmbH","PSW Geesthacht PSS A","21502","Geesthacht","Elbuferstraße","49","Schleswig-Holstein","10.10.1958","","In Betrieb","Pumpspeicher","","Pumpspeicher","Nein","nein","40,00","39,70",NA,"","Volleinspeisung","Stromnetz Hamburg GmbH (SNB968295079586)","Hochspannung"
"484","SEE923480872250","Vattenfall Wasserkraft GmbH","PSW Geesthacht PSS B","21502","Geesthacht","Elbuferstraße","49","Schleswig-Holstein","11.07.1958","","In Betrieb","Pumpspeicher","","Pumpspeicher","Nein","nein","40,00","39,70",NA,"","Volleinspeisung","Stromnetz Hamburg GmbH (SNB968295079586)","Hochspannung"
"485","SEE966988528885","Vattenfall Wasserkraft GmbH","PSW Geesthacht PSS C","21502","Geesthacht","Elbuferstraße","49","Schleswig-Holstein","14.02.1958","","In Betrieb","Pumpspeicher","","Pumpspeicher","Nein","nein","40,00","39,70",NA,"","Volleinspeisung","Stromnetz Hamburg GmbH (SNB968295079586)","Hochspannung"
"486","SEE914662265496","WMF GmbH","Dampfturbine AEG Kanis","73312","Geislingen","WMF Platz","1","Baden-Württemberg","01.01.1965","","In Betrieb","Wärme","Dampf (zum Beispiel Prozesswärme)","Wärme","Ja","nein","5,50","5,47",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Albwerk GmbH & Co. KG (SNB926699071292)","Mittelspannung"
"487","SEE942803645654","WMF GmbH","Dampfturbine BBC","73312","Geislingen","WMF Platz","1","Baden-Württemberg","01.01.1956","","In Betrieb","Wärme","Dampf (zum Beispiel Prozesswärme)","Wärme","Ja","nein","2,50","2,44",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Albwerk GmbH & Co. KG (SNB926699071292)","Mittelspannung"
"488","SEE952352206145","Uniper Kraftwerke GmbH","Scholven B","45896","Gelsenkirchen","Glückaufstraße","56","Nordrhein-Westfalen","01.01.1968","","In Betrieb","Steinkohle","Steinkohlen","Steinkohle","Ja","nein","370,00","345,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Amprion GmbH (SNB976890256486)","Höchstspannung"
"489","SEE991939746742","Donau-Wasserkraft AG","Langenprozelten E F1","97737","Gemünden","Am Sindersbach","25","Bayern","01.01.1976","","In Betrieb","Pumpspeicher","","Pumpspeicher","Nein","nein","84,20","82,00",NA,"","Volleinspeisung","DB Energie GmbH (Bahnstromnetz 16,7 Hz) (SNB942182027607)","Hochspannung"
"490","SEE937878572653","Donau-Wasserkraft AG","Langenprozelten E F2","97737","Gemünden","Am Sindersbach","25","Bayern","01.01.1976","","In Betrieb","Pumpspeicher","","Pumpspeicher","Nein","nein","84,20","82,00",NA,"","Volleinspeisung","DB Energie GmbH (Bahnstromnetz 16,7 Hz) (SNB942182027607)","Hochspannung"
"491","SEE929808661773","ENGIE Deutschland GmbH","70001313.01","07546","Gera","Siemensstraße","43","Thüringen","05.12.2018","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,50","4,47",NA,"Verbrennungsmotor","Volleinspeisung","GeraNetz GmbH (SNB948816192529)","Mittelspannung"
"492","SEE956808243722","ENGIE Deutschland GmbH","70001313.01","07546","Gera","Siemensstraße","43","Thüringen","05.12.2018","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,50","4,47",NA,"Verbrennungsmotor","Volleinspeisung","GeraNetz GmbH (SNB948816192529)","Mittelspannung"
"493","SEE984068604342","ENGIE Deutschland GmbH","70001313.01","07546","Gera","Siemensstraße","43","Thüringen","05.12.2018","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,50","4,47",NA,"Verbrennungsmotor","Volleinspeisung","GeraNetz GmbH (SNB948816192529)","Mittelspannung"
"494","SEE948545926433","ENGIE Deutschland GmbH","70001313.01","07546","Gera","Siemensstraße","43","Thüringen","06.12.2018","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,50","4,47",NA,"Verbrennungsmotor","Volleinspeisung","GeraNetz GmbH (SNB948816192529)","Mittelspannung"
"495","SEE957602727647","ENGIE Deutschland GmbH","70001313.01","07546","Gera","Siemensstraße","43","Thüringen","06.12.2018","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,50","4,47",NA,"Verbrennungsmotor","Volleinspeisung","GeraNetz GmbH (SNB948816192529)","Mittelspannung"
"496","SEE949816813650","ENGIE Deutschland GmbH","70001314.01","07549","Gera","Vogtlandstraße","11","Thüringen","21.11.2018","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,40","4,39",NA,"Verbrennungsmotor","Volleinspeisung","GeraNetz GmbH (SNB948816192529)","Mittelspannung"
"497","SEE971156902916","ENGIE Deutschland GmbH","70001314.01","07549","Gera","Vogtlandstraße","11","Thüringen","26.11.2018","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,40","4,39",NA,"Verbrennungsmotor","Volleinspeisung","GeraNetz GmbH (SNB948816192529)","Mittelspannung"
"498","SEE904748267797","ENGIE Deutschland GmbH","70001314.01","07549","Gera","Vogtlandstraße","11","Thüringen","20.11.2018","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,40","4,39",NA,"Verbrennungsmotor","Volleinspeisung","GeraNetz GmbH (SNB948816192529)","Mittelspannung"
"499","SEE968905685947","ENGIE Deutschland GmbH","70001314.01","07549","Gera","Vogtlandstraße","11","Thüringen","19.11.2018","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,40","4,39",NA,"Verbrennungsmotor","Volleinspeisung","GeraNetz GmbH (SNB948816192529)","Mittelspannung"
"500","SEE917110358740","Steinbeis Energie GmbH","Steinbeis Energie EBS Kessel 6","25348","Glückstadt","Stadtstraße","20","Schleswig-Holstein","27.09.2010","","In Betrieb","nicht biogener Abfall","Abfall (Hausmüll, Siedl.abf.)","Abfall","Ja","nein","21,40","17,00",NA,"Kondensationsmaschine mit Entnahme","Volleinspeisung","Schleswig-Holstein Netz AG (SNB919861978666)","Mittelspannung"
"501","SEE945148512650","Vattenfall Wasserkraft GmbH","PSW Goldisthal PSS A","98746","Goldisthal","Am Rotseifenbach","","Thüringen","27.04.2004","","In Betrieb","Pumpspeicher","","Pumpspeicher","Nein","nein","265,00","263,00",NA,"","Volleinspeisung","50Hertz Transmission GmbH (SNB982046657236)","Höchstspannung"
"502","SEE974189836364","Vattenfall Wasserkraft GmbH","PSW Goldisthal PSS B","98746","Goldisthal","Am Rotseifenbach","","Thüringen","10.07.2003","","In Betrieb","Pumpspeicher","","Pumpspeicher","Nein","nein","265,00","263,00",NA,"","Volleinspeisung","50Hertz Transmission GmbH (SNB982046657236)","Höchstspannung"
"503","SEE943653719359","Vattenfall Wasserkraft GmbH","PSW Goldisthal PSS C","98746","Goldisthal","Am Rotseifenbach","","Thüringen","03.02.2003","","In Betrieb","Pumpspeicher","","Pumpspeicher","Nein","nein","265,00","263,00",NA,"","Volleinspeisung","50Hertz Transmission GmbH (SNB982046657236)","Höchstspannung"
"504","SEE901345486644","Vattenfall Wasserkraft GmbH","PSW Goldisthal PSS D","98746","Goldisthal","Am Rotseifenbach","","Thüringen","28.06.2004","","In Betrieb","Pumpspeicher","","Pumpspeicher","Nein","nein","265,00","263,00",NA,"","Volleinspeisung","50Hertz Transmission GmbH (SNB982046657236)","Höchstspannung"
"505","SEE971280976463","EEW Energy from Waste Göppingen","MHKW Turbine","73037","Göppingen","Iltishofweg","40","Baden-Württemberg","01.07.1975","","In Betrieb","nicht biogener Abfall","Abfall (Hausmüll, Siedl.abf.)","Abfall","Ja","nein","13,20","11,00",NA,"Kondensationsmaschine ohne Entnahme","Volleinspeisung","Energieversorgung Filstal GmbH & Co. KG (SNB910995561328)","Mittelspannung"
"506","SEE931375347240","SMAREG 1","SMAREG 1","99867","Gotha","","","Thüringen","06.02.2020","","In Betrieb","Speicher","","Batteriespeicher","Nein","nein","10,00","10,00",NA,"","Volleinspeisung","TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712)","Mittelspannung"
"507","SEE973250051972","Georg-August-Universität Göttingen","Gasturbine HKW","37075","Göttingen","Rudolf-Diesel-Straße","10","Niedersachsen","01.01.1998","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","19,50","18,80",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","EAM Netz GmbH (SNB971311555230)","Umspannebene Hochspannung/Mittelspannung"
