"","MaStR.Nr..der.Stromerzeugungseinheit","Anlagenbetreiber","Anzeige.Name.der.Stromerzeugungseinheit","PLZ.der.Einheit","Ort.der.Einheit","Straße.der.Einheit","Hausnummer.der.Einheit","Bundesland.der.Einheit","Datum.der.erstmaligen.Inbetriebnahme.der.Einheit","Datum.der.endgültigen.Stilllegung.der.Einheit..Datum.Jahr.","Kraftwerksstatus.der.Einheit","Energieträger","Hauptbrennstoff","Auswertung.Energieträger","Wärmeauskopplung..KWK...ja.nein.","Ist.die.Stromerzeugungseinheit.ein.Bestandteil.eines.Grenzkraftwerkes.","Bruttoleistung.in.MW","Nettonennleistung..elektrische.Wirkleistung..in.MW","Ist.die.Stromerzeugungseinheit.ein.Bestandteil.eines.Grenzkraftwerkes...ja..Nettonennleistung.der.Einspeisung.in.ein.deutsches.Netz.","Technologie.der.Stromerzeugung","Volleinspeisung.oder.Teileinspeisung.","Anschlussnetzbetreiber","Spannungsebene"
"1","SEE915851127786","Stadtwerke Aachen AG","BHKW Schwarzer Weg","52070","Aachen","Schwarzer Weg","19 b","Nordrhein-Westfalen","05.04.2023","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","22,54","21,51",NA,"Verbrennungsmotor","Volleinspeisung","Regionetz GmbH (SNB911641710114)","Mittelspannung"
"2","SEE915851127786","Stadtwerke Aachen AG","BHKW Schwarzer Weg","52070","Aachen","Schwarzer Weg","19 b","Nordrhein-Westfalen","05.04.2023","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","22,54","21,51",NA,"Verbrennungsmotor","Volleinspeisung","Regionetz GmbH (SNB911641710114)","Mittelspannung"
"3","SEE946736241334","Palm Power GmbH & Co. KG","HKW Aalen","73432","Aalen","Palm Allee","1","Baden-Württemberg","03.11.2021","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","78,03","77,15",NA,"Gasturbinen mit nachgeschalteter Dampfturbine","Volleinspeisung","Netze BW GmbH (SNB948311994307)","Hochspannung; Hochspannung"
"4","SEE901440918859","Rheinkraftwerk Albbruck-Dogern AG","RADAG M1","79774","Albbruck","Kraftwerkstraße","34","Baden-Württemberg","01.01.1934","","In Betrieb","Wasser","","Wasser","Nein","ja","27,94","27,94",27.94,"","Volleinspeisung","Amprion GmbH (SNB976890256486)","Hochspannung"
"5","SEE934395809149","Rheinkraftwerk Albbruck-Dogern AG","RADAG M2","79774","Albbruck","Kraftwerkstraße","34","Baden-Württemberg","01.01.1934","","In Betrieb","Wasser","","Wasser","Nein","ja","27,94","27,94",27.94,"","Volleinspeisung","Amprion GmbH (SNB976890256486)","Hochspannung"
"6","SEE991917215321","Rheinkraftwerk Albbruck-Dogern AG","RADAG M3","79774","Albbruck","Kraftwerkstraße","34","Baden-Württemberg","01.01.1934","","In Betrieb","Wasser","","Wasser","Nein","ja","27,94","27,94",27.94,"","Volleinspeisung","Amprion GmbH (SNB976890256486)","Hochspannung"
"7","SEE902796244388","Sappi Alfeld","Turbine 4","31061","Alfeld","Mühlenmasch","1","Niedersachsen","21.09.1970","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","14,00","11,00",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Überlandwerk Leinetal GmbH (SNB910956210043)","Mittelspannung"
"8","SEE973279238699","Sappi Alfeld","Turbine 5","31061","Alfeld","Mühlenmasch","1","Niedersachsen","18.06.2003","","In Betrieb","Biomasse","Brennlauge, Schwarzlauge, Sulfitablauge","Biomasse","Ja","nein","16,75","13,00",NA,"Gegendruckmaschine mit Entnahme","Volleinspeisung","Überlandwerk Leinetal GmbH (SNB910956210043)","Mittelspannung"
"9","SEE971282697380","EnBW Energie Baden-Württemberg AG","Heizkraftwerk Altbach/Deizisau Block 4 GT A (solo)","73776","Altbach","Industriestraße","11","Baden-Württemberg","01.09.1971","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Nein","nein","50,00","45,00",NA,"Gasturbinen ohne Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Netze BW GmbH (SNB948311994307)","Hochspannung"
"10","SEE963975943188","EnBW Energie Baden-Württemberg AG","Heizkraftwerk Altbach/Deizisau GT B","73776","Altbach","Industriestraße","11","Baden-Württemberg","01.11.1973","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Nein","nein","60,00","57,00",NA,"Gasturbinen ohne Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Netze BW GmbH (SNB948311994307)","Hochspannung"
"11","SEE904161631090","EnBW Energie Baden-Württemberg AG","Heizkraftwerk Altbach/Deizisau GT C","73776","Altbach","Industriestraße","11","Baden-Württemberg","01.09.1975","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Nein","nein","87,00","81,00",NA,"Gasturbinen ohne Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Netze BW GmbH (SNB948311994307)","Hochspannung"
"12","SEE965782597448","EnBW Energie Baden-Württemberg AG","Heizkraftwerk Altbach/Deizisau HKW 2 DT (Solobetrieb)","73776","Altbach","Industriestraße","11","Baden-Württemberg","29.05.1997","","In Betrieb","Steinkohle","Steinkohlen","Steinkohle","Ja","nein","354,00","323,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","TransnetBW GmbH (SNB984944755380)","Höchstspannung"
"13","SEE975556152230","EnBW Energie Baden-Württemberg AG","Heizkraftwerk Altbach/Deizisau HKW 2 GT E (Solobetrieb)","73776","Altbach","Industriestraße","11","Baden-Württemberg","30.04.1997","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","65,00","65,00",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Netze BW GmbH (SNB948311994307)","Hochspannung"
"14","SEE909373287806","Heizkraftwerk Altenstadt GmbH & Co. KG","Heizkraftwerk Altenstadt","86972","Altenstadt","Triebstraße","90","Bayern","01.10.1999","","In Betrieb","Biomasse","Altholz, Gebrauchtholz, Holz(sperr)müll","Biomasse","Ja","nein","10,60","9,40",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","LEW Verteilnetz GmbH (SNB911705062982)","Mittelspannung"
"15","SEE950208762586","Untere Iller GmbH","Untereichen F1","89281","Altenstadt","Werkstraße","60","Bayern","01.01.1931","","In Betrieb","Wasser","","Wasser","Nein","nein","4,00","4,00",NA,"","Teileinspeisung (einschließlich Eigenverbrauch)","LEW Verteilnetz GmbH (SNB911705062982)","Umspannebene Mittelspannung/Niederspannung"
"16","SEE968240296907","Untere Iller GmbH","Untereichen F2","89281","Altenstadt","Werkstraße","60","Bayern","01.01.1931","","In Betrieb","Wasser","","Wasser","Nein","nein","4,00","4,00",NA,"","Teileinspeisung (einschließlich Eigenverbrauch)","LEW Verteilnetz GmbH (SNB911705062982)","Umspannebene Mittelspannung/Niederspannung"
"17","SEE968986286460","Untere Iller GmbH","Untereichen F3","89281","Altenstadt","Werkstraße","60","Bayern","01.01.1931","","In Betrieb","Wasser","","Wasser","Nein","nein","2,00","2,00",NA,"","Teileinspeisung (einschließlich Eigenverbrauch)","LEW Verteilnetz GmbH (SNB911705062982)","Umspannebene Mittelspannung/Niederspannung"
"18","SEE989520528877","Stadtwerke Leipzig GmbH","BMKW Bischofferode","37345","Am Ohmberg","Schachtstraße","1","Thüringen","30.12.2005","","In Betrieb","Biomasse","Wald-Holzhackschnitzel, Wald-Scheitholz, -Kronenholz","Biomasse","Nein","nein","20,00","18,10",NA,"Kondensationsmaschine mit Entnahme","Volleinspeisung","TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712)","Mittelspannung"
"19","SEE958335974377","IHKW Industrieheizkraftwerk Andernach GmbH","Dampfturbine","56626","Andernach","Koblenzer Straße","141","Rheinland-Pfalz","15.12.2008","","In Betrieb","nicht biogener Abfall","Abfall (Hausmüll, Siedl.abf.)","Abfall","Ja","nein","13,70","12,50",NA,"Kondensationsmaschine mit Entnahme","Volleinspeisung","Amprion GmbH (SNB976890256486)","Umspannebene Höchstspannung/Hochspannung"
"20","SEE905257392765","Cosun Beet Company GmbH & Co. KG","Kesselhaus","17389","Anklam","Bluthsluster Straße","24","Mecklenburg-Vorpommern","26.09.1993","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","16,00","15,00",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","E.DIS Netz GmbH (SNB941690671609)","Mittelspannung"
"21","SEE983807255883","Buchmann Karton","KWK Anlage","76855","Annweiler","Wasgaustraße","5","Rheinland-Pfalz","24.01.1976","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","19,78","19,78",NA,"Gasturbinen mit nachgeschalteter Dampfturbine","Teileinspeisung (einschließlich Eigenverbrauch)","Pfalzwerke Netz AG (SNB961471621746)","Mittelspannung"
"22","SEE924682614181","Mercer Stendal GmbH","Mercer Stendal TG 1","39596","Arneburg","Goldbecker Straße","1","Sachsen-Anhalt","28.07.2004","","In Betrieb","Biomasse","Brennlauge, Schwarzlauge, Sulfitablauge","Biomasse","Ja","nein","99,72","94,52",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Infrastrukturbetrieb der Stadt Arneburg (SNB971962135690)","Mittelspannung"
"23","SEE963815106018","Mercer Stendal GmbH","Mercer Stendal TG 2","39596","Arneburg","Goldbecker Straße","1","Sachsen-Anhalt","28.07.2004","","In Betrieb","Biomasse","Brennlauge, Schwarzlauge, Sulfitablauge","Biomasse","Ja","nein","48,00","45,76",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Infrastrukturbetrieb der Stadt Arneburg (SNB971962135690)","Mittelspannung"
"24","SEE993385162510","R.D.M. Arnsberg GmbH","BVI-NT","59821","Arnsberg","Hellefelder Straße","51","Nordrhein-Westfalen","27.02.1957","","In Betrieb","Steinkohle","Steinkohlen","Steinkohle","Ja","nein","6,60","5,79",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Westnetz GmbH (SNB921897286493)","Mittelspannung"
"25","SEE900040609433","R.D.M. Arnsberg GmbH","SSW-NT","59821","Arnsberg","Hellefelder Straße","51","Nordrhein-Westfalen","27.02.1957","","In Betrieb","Steinkohle","Steinkohlen","Steinkohle","Ja","nein","7,00","6,14",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Westnetz GmbH (SNB921897286493)","Mittelspannung"
"26","SEE909339504022","R.D.M. Arnsberg GmbH","SSW-VT","59821","Arnsberg","Hellefelder Straße","51","Nordrhein-Westfalen","27.02.1957","","In Betrieb","Steinkohle","Steinkohlen","Steinkohle","Ja","nein","7,00","6,14",NA,"Gegendruckmaschine ohne Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Westnetz GmbH (SNB921897286493)","Mittelspannung"
"27","SEE973646665912","DS Smith Paper Deutschland GmbH","BHKW 1","63741","Aschaffenburg","Weichertstraße","7","Bayern","14.12.2005","","In Betrieb","Biomasse","Biogas","Biomasse","Ja","nein","1,06","1,01",NA,"Verbrennungsmotor","Volleinspeisung","Aschaffenburger Versorgungs-GmbH (SNB911081401368)","Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung"
"28","SEE915604855232","Sustainable Energy Aschaffenburg GmbH","GuD-Anlage (Gasturbine)","63741","Aschaffenburg","Weichertstraße","7","Bayern","28.01.2013","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","32,25","31,55",NA,"Gasturbinen mit nachgeschalteter Dampfturbine","Teileinspeisung (einschließlich Eigenverbrauch)","Aschaffenburger Versorgungs-GmbH (SNB911081401368)","Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung"
"29","SEE938477978983","BIGGE ENERGIE GmbH & Co. KG","Biggekraftwerk Generator 1","57439","Attendorn","","","Nordrhein-Westfalen","01.01.1965","","In Betrieb","Wasser","","Wasser","Nein","nein","5,00","4,80",NA,"","Volleinspeisung","BIGGE ENERGIE GmbH & Co. KG (SNB990174285078)","Mittelspannung"
"30","SEE965966201352","BIGGE ENERGIE GmbH & Co. KG","Biggekraftwerk Generator 2","57439","Attendorn","","","Nordrhein-Westfalen","01.01.1965","","In Betrieb","Wasser","","Wasser","Nein","nein","5,00","4,80",NA,"","Volleinspeisung","BIGGE ENERGIE GmbH & Co. KG (SNB990174285078)","Mittelspannung"
"31","SEE968039156900","BIGGE ENERGIE GmbH & Co. KG","Biggekraftwerk Generator 3","57439","Attendorn","","","Nordrhein-Westfalen","01.01.1965","","In Betrieb","Wasser","","Wasser","Nein","nein","5,00","4,80",NA,"","Volleinspeisung","BIGGE ENERGIE GmbH & Co. KG (SNB990174285078)","Mittelspannung"
"32","SEE943841929270","AVA Abfallverwertung Augsburg Kommunalunternehmen","AHKW HD Turbine","86167","Augsburg","Am Mittleren Moos","60","Bayern","16.09.1994","","In Betrieb","nicht biogener Abfall","Abfall (Hausmüll, Siedl.abf.)","Abfall","Ja","nein","8,22","7,97",NA,"Sonstige","Teileinspeisung (einschließlich Eigenverbrauch)","swa Netze GmbH (SNB958077102830)","Mittelspannung"
"33","SEE943548208159","AVA Abfallverwertung Augsburg Kommunalunternehmen","AHKW ND Turbine","86167","Augsburg","Am Mittleren Moos","60","Bayern","16.09.1994","","In Betrieb","nicht biogener Abfall","Abfall (Hausmüll, Siedl.abf.)","Abfall","Ja","nein","9,48","6,72",NA,"Sonstige","Teileinspeisung (einschließlich Eigenverbrauch)","swa Netze GmbH (SNB958077102830)","Mittelspannung"
"34","SEE957639615832","MAN Energy Solutions SE","Prüfstand 15","86153","Augsburg","Stadtbachstraße","1","Bayern","01.05.2009","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Nein","nein","14,00","13,84",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","swa Netze GmbH (SNB958077102830)","Mittelspannung"
"35","SEE952857304476","MAN Energy Solutions SE","Prüfstand 32","86153","Augsburg","Stadtbachstraße","1","Bayern","01.09.2013","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Nein","nein","1,86","1,78",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","swa Netze GmbH (SNB958077102830)","Mittelspannung"
"36","SEE941055812814","MAN Energy Solutions SE","SI-Gasmotor (12 V 32/40)","86153","Augsburg","Stadtbachstraße","1","Bayern","04.05.2005","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Nein","nein","5,35","5,24",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","swa Netze GmbH (SNB958077102830)","Mittelspannung"
"37","SEE959745626917","Rolls-Royce Solutions Augsburg GmbH","Prüfstand 11","86165","Augsburg","Dasinger Straße","11","Bayern","01.03.2004","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Nein","nein","4,00","3,95",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","swa Netze GmbH (SNB958077102830)","Mittelspannung"
"38","SEE926356200836","Rolls-Royce Solutions Augsburg GmbH","Prüfstand 4","86165","Augsburg","Dasinger Straße","11","Bayern","01.01.2003","","In Betrieb","Erdgas","","Erdgas","Nein","nein","4,00","3,95",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","swa Netze GmbH (SNB958077102830)","Mittelspannung"
"39","SEE971949289934","Rolls-Royce Solutions Augsburg GmbH","Prüfstand 5","86165","Augsburg","Dasinger Straße","11","Bayern","01.03.2004","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Nein","nein","3,20","3,15",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","swa Netze GmbH (SNB958077102830)","Mittelspannung"
"40","SEE949310869146","Rolls-Royce Solutions Augsburg GmbH","Prüfstand 6","86165","Augsburg","Dasinger Straße","11","Bayern","01.03.2004","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Nein","nein","3,20","3,15",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","swa Netze GmbH (SNB958077102830)","Mittelspannung"
"41","SEE925189660817","Rolls-Royce Solutions Augsburg GmbH","Prüfstand 8","86165","Augsburg","Dasinger Straße","11","Bayern","01.03.2004","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Nein","nein","3,20","3,15",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","swa Netze GmbH (SNB958077102830)","Mittelspannung"
"42","SEE918373264410","Stadtwerke Augsburg Energie GmbH","BHKW GT-Ost","86167","Augsburg","Beim Grenzgraben","10","Bayern","15.01.2004","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","31,00","30,70",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","swa Netze GmbH (SNB958077102830)","Hochspannung"
"43","SEE953849626040","Stadtwerke Augsburg Energie GmbH","Biomasse-HKW Augsburg","86167","Augsburg","Beim Grenzgraben","20","Bayern","03.06.2008","","In Betrieb","Biomasse","Wald-Holzhackschnitzel, Wald-Scheitholz, -Kronenholz","Biomasse","Ja","nein","7,66","6,90",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","swa Netze GmbH (SNB958077102830)","Mittelspannung"
"44","SEE982512881400","Stadtwerke Augsburg Energie GmbH","HKW, Dampfturbine 2","86152","Augsburg","Franziskanergasse","9","Bayern","15.12.1976","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","20,90","20,40",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","swa Netze GmbH (SNB958077102830)","Mittelspannung"
"45","SEE985207643796","Stadtwerke Augsburg Energie GmbH","Wasserkraftanlage am Hochablass im Lech (Fluss-km 47,000)- Turbine 1","86152","Augsburg","","","Bayern","20.12.2013","","In Betrieb","Wasser","","Wasser","Nein","nein","1,72","1,72",NA,"","Volleinspeisung","swa Netze GmbH (SNB958077102830)","Mittelspannung"
"46","SEE989473483247","Stadtwerke Augsburg Energie GmbH","Wasserkraftanlage am Hochablass im Lech (Fluss-km 47,000)- Turbine 2","86152","Augsburg","","","Bayern","20.12.2013","","In Betrieb","Wasser","","Wasser","Nein","nein","1,72","1,72",NA,"","Volleinspeisung","swa Netze GmbH (SNB958077102830)","Mittelspannung"
"47","SEE929095613516","GSB Sonderabfall-Entsorgung Bayern GmbH","Turbine VA2","85107","Baar-Ebenhausen","Äußerer Ring","50","Bayern","06.10.1995","","In Betrieb","nicht biogener Abfall","Industrieabfall","Abfall","Nein","nein","7,06","0,54",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Bayernwerk Netz GmbH (SNB940352624434)","Mittelspannung"
"48","SEE906331863386","GSB Sonderabfall-Entsorgung Bayern GmbH","Turbine VA3","85107","Baar-Ebenhausen","Äußerer Ring","50","Bayern","20.12.1995","","In Betrieb","nicht biogener Abfall","Industrieabfall","Abfall","Nein","nein","7,06","0,54",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Bayernwerk Netz GmbH (SNB940352624434)","Mittelspannung"
"49","SEE948455839281","Innwerk AG","Kraftwerk Egglfing-Obernberg MS1","94072","Bad Füssing","Am Innwerk","13","Bayern","29.09.1944","","In Betrieb","Wasser","","Wasser","Nein","ja","13,45","13,45",0,"","Volleinspeisung","Bayernwerk Netz GmbH (SNB940352624434)","Hochspannung"
"50","SEE993233732025","Innwerk AG","Kraftwerk Egglfing-Obernberg MS2","94072","Bad Füssing","Am Innwerk","13","Bayern","13.01.1946","","In Betrieb","Wasser","","Wasser","Nein","ja","13,45","13,45",0,"","Volleinspeisung","Bayernwerk Netz GmbH (SNB940352624434)","Hochspannung"
"51","SEE914861690945","Innwerk AG","Kraftwerk Egglfing-Obernberg MS3","94072","Bad Füssing","Am Innwerk","13","Bayern","17.08.1949","","In Betrieb","Wasser","","Wasser","Nein","ja","13,45","13,45",0,"","Volleinspeisung","Bayernwerk Netz GmbH (SNB940352624434)","Hochspannung"
"52","SEE922429625575","Innwerk AG","Kraftwerk Egglfing-Obernberg MS4","94072","Bad Füssing","Am Innwerk","13","Bayern","18.01.1950","","In Betrieb","Wasser","","Wasser","Nein","ja","13,45","13,45",0,"","Volleinspeisung","Bayernwerk Netz GmbH (SNB940352624434)","Hochspannung"
"53","SEE957367978162","Innwerk AG","Kraftwerk Egglfing-Obernberg MS5","94072","Bad Füssing","Am Innwerk","13","Bayern","19.05.1950","","In Betrieb","Wasser","","Wasser","Nein","ja","13,45","13,45",0,"","Volleinspeisung","Bayernwerk Netz GmbH (SNB940352624434)","Hochspannung"
"54","SEE974979035090","Innwerk AG","Kraftwerk Egglfing-Obernberg MS6","94072","Bad Füssing","Am Innwerk","13","Bayern","26.09.1950","","In Betrieb","Wasser","","Wasser","Nein","ja","13,45","13,45",0,"","Volleinspeisung","Bayernwerk Netz GmbH (SNB940352624434)","Hochspannung"
"55","SEE997988564504","Michelin Reifenwerke AG & Co. KGaA","BKR Gasturbine","55543","Bad Kreuznach","Michelinstraße","1","Rheinland-Pfalz","29.09.2006","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","11,40","11,34",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Westnetz GmbH (SNB921897286493)","Umspannebene Hochspannung/Mittelspannung"
"56","SEE955634700423","EnBW Energie Baden-Württemberg AG","WKW Säckingen M2","79713","Bad Säckingen","Murger Weg","2","Baden-Württemberg","01.07.1966","","In Betrieb","Wasser","","Wasser","Nein","ja","23,00","23,00",9.2,"","Teileinspeisung (einschließlich Eigenverbrauch)","Netze BW GmbH (SNB948311994307)","Hochspannung"
"57","SEE975648364909","EnBW Energie Baden-Württemberg AG","WKW Säckingen M3","79713","Bad Säckingen","Murger Weg","2","Baden-Württemberg","01.07.1966","","In Betrieb","Wasser","","Wasser","Nein","ja","23,00","23,00",9.2,"","Teileinspeisung (einschließlich Eigenverbrauch)","Netze BW GmbH (SNB948311994307)","Hochspannung"
"58","SEE922473273890","EnBW Energie Baden-Württemberg AG","WKW Säckingen M4","79713","Bad Säckingen","Murger Weg","2","Baden-Württemberg","01.07.1966","","In Betrieb","Wasser","","Wasser","Nein","ja","23,00","23,00",18.4,"","Teileinspeisung (einschließlich Eigenverbrauch)","Netze BW GmbH (SNB948311994307)","Hochspannung"
"59","SEE906636749798","Schluchseewerk AG","KW Säckingen A7","79713","Bad Säckingen","Stollenweg","2","Baden-Württemberg","21.11.1966","","In Betrieb","Pumpspeicher","","Pumpspeicher","Nein","nein","90,00","90,00",NA,"","","Amprion GmbH (SNB976890256486)","Höchstspannung"
"60","SEE945451865368","Schluchseewerk AG","KW Säckingen A8","79713","Bad Säckingen","Stollenweg","2","Baden-Württemberg","20.06.1967","","In Betrieb","Pumpspeicher","","Pumpspeicher","Nein","nein","90,00","90,00",NA,"","","Amprion GmbH (SNB976890256486)","Höchstspannung"
"61","SEE969767231167","Schluchseewerk AG","KW Säckingen B7","79713","Bad Säckingen","Stollenweg","2","Baden-Württemberg","31.01.1967","","In Betrieb","Pumpspeicher","","Pumpspeicher","Nein","nein","90,00","90,00",NA,"","","TransnetBW GmbH (SNB984944755380)","Höchstspannung"
"62","SEE930322142068","Schluchseewerk AG","KW Säckingen B8","79713","Bad Säckingen","Stollenweg","2","Baden-Württemberg","21.05.1967","","In Betrieb","Pumpspeicher","","Pumpspeicher","Nein","nein","90,00","90,00",NA,"","","TransnetBW GmbH (SNB984944755380)","Höchstspannung"
"63","SEE901246020381","TEAG Thüringer Energie AG","Gasmotor Bad Salzungen","36433","Bad Salzungen","Langenfelder Straße","82","Thüringen","04.12.2018","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","10,05","10,00",NA,"Verbrennungsmotor","Volleinspeisung","TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712)","Mittelspannung"
"64","SEE909727831365","TEAG Thüringer Energie AG","Gasturbine Bad Salzungen","36433","Bad Salzungen","Langenfelder Straße","82","Thüringen","28.10.1993","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","10,01","9,83",NA,"Gasturbinen mit Abhitzekessel","Volleinspeisung","TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712)","Mittelspannung"
"65","SEE923791565131","Zweckverband Müllheizkraftwerk Stadt und Landkreis Bamberg","Rheinstraße","96052","Bamberg","Rheinstraße","6","Bayern","07.08.2014","","In Betrieb","nicht biogener Abfall","Abfall (Hausmüll, Siedl.abf.)","Abfall","Ja","nein","11,33","9,30",NA,"Kondensationsmaschine mit Entnahme","Volleinspeisung","Stadtwerke Bamberg Energie- und Wasserversorgungs GmbH (SNB949646353012)","Mittelspannung"
"66","SEE941053107073","Cargill Deutschland GmbH","Stromerzeugung Barby","39249","Barby","Monplaisirstraße","22","Sachsen-Anhalt","09.05.2013","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","17,95","17,78",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Avacon Netz GmbH (SNB990362338043)","Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung"
"67","SEE976945777003","Pfleiderer Gütersloh GmbH","KWK Baruth","15837","Baruth","An der Birkenpfuhlheide","4","Brandenburg","18.06.2002","","In Betrieb","Biomasse","Altholz, Gebrauchtholz, Holz(sperr)müll","Biomasse","Ja","nein","10,21","9,70",NA,"Gegendruckmaschine mit Entnahme","Volleinspeisung","E.DIS Netz GmbH (SNB941690671609)","Mittelspannung"
"68","SEE999630346957","Pfleiderer Gütersloh GmbH","KWK Baruth","15837","Baruth","An der Birkenpfuhlheide","4","Brandenburg","18.06.2002","","In Betrieb","Biomasse","Altholz, Gebrauchtholz, Holz(sperr)müll","Biomasse","Ja","nein","8,36","7,80",NA,"Kondensationsmaschine ohne Entnahme","Volleinspeisung","E.DIS Netz GmbH (SNB941690671609)","Mittelspannung"
"69","SEE998387657606","Volkswagen AG","VW Baunatal Dampfturbine","34225","Baunatal","Im Lehnhof","","Hessen","18.02.2013","","In Betrieb","Wärme","Dampf (zum Beispiel Prozesswärme)","Erdgas","Ja","nein","30,26","29,30",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Avacon Netz GmbH (SNB990362338043)","Hochspannung"
"70","SEE961847934449","Volkswagen AG","VW Baunatal Gasturbine","34225","Baunatal","Im Lehnhof","","Hessen","18.02.2013","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","51,00","45,07",NA,"Gasturbinen mit nachgeschalteter Dampfturbine","Teileinspeisung (einschließlich Eigenverbrauch)","Avacon Netz GmbH (SNB990362338043)","Hochspannung"
"71","SEE934189578992","Sonae Arauco Beeskow GmbH","Sonae Arauco Beeskow GmbH","15848","Beeskow","Radinkendorfer Straße","71","Brandenburg","28.06.2001","","In Betrieb","Biomasse","Altholz, Gebrauchtholz, Holz(sperr)müll","Biomasse","Ja","nein","18,32","15,80",NA,"Kondensationsmaschine mit Entnahme","Volleinspeisung","E.DIS Netz GmbH (SNB941690671609)","Umspannebene Hochspannung/Mittelspannung"
